rank,file_name,series_name,total_length,train_length,test_length,ks_statistic,p_value,bh_adjusted_p_value,is_significant
234,144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.txt,InternalBleeding9,7501,6599,820,0.044678979446,1.051629954431e-01,1.123536276102e-01,no
235,249_UCR_Anomaly_weallwalk_2753_8285_8315.txt,weallwalk,10524,8285,2209,0.027003428395,1.538131006218e-01,1.636309581083e-01,no
236,193_UCR_Anomaly_s20101m_10000_35774_35874.txt,s20101m,40000,35774,4126,0.018489477257,1.574269475942e-01,1.667658343159e-01,no
237,208_UCR_Anomaly_CHARISten_5130_27929_27989.txt,CHARISten,40870,27929,12881,0.011911318743,1.625640577476e-01,1.714810735734e-01,no
238,131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716.txt,GP711MarkerLFM5z5,12000,8612,3284,0.022017687129,1.957757669032e-01,2.056468139740e-01,no
239,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt,DISTORTEDInternalBleeding20,7500,5759,1581,0.030189965293,2.033254179047e-01,2.126834915322e-01,no
240,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854.txt,InternalBleeding15,7601,5684,1747,0.028393300750,2.263704800849e-01,2.358025834218e-01,no
241,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,DISTORTEDGP711MarkerLFM5z2,12000,7175,4612,0.019135024221,2.513223691001e-01,2.607078517636e-01,no
242,132_UCR_Anomaly_InternalBleeding10_3200_4526_4556.txt,InternalBleeding10,7501,4526,2945,0.021166593018,3.940720441115e-01,4.070992191234e-01,no
243,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,DISTORTEDInternalBleeding14,7501,5607,1867,0.023607723493,4.080525365441e-01,4.198071363622e-01,no
244,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033.txt,InternalBleeding4,7321,4675,2288,0.021621760592,4.609926254234e-01,4.723285096551e-01,no
245,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,DISTORTEDinsectEPG2,9998,8000,1973,0.019685187532,5.637160135383e-01,5.752204219779e-01,no
246,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,DISTORTEDInternalBleeding8,7501,5865,1527,0.019886878472,7.148962386880e-01,7.265205677724e-01,no
247,143_UCR_Anomaly_InternalBleeding8_2500_5865_5974.txt,InternalBleeding8,7501,5865,1527,0.018241139456,8.065600925032e-01,8.137818602818e-01,no
248,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501.txt,DISTORTEDinsectEPG5,10028,8500,1527,0.017644824531,8.072716053995e-01,8.137818602818e-01,no
249,133_UCR_Anomaly_InternalBleeding14_2800_5607_5634.txt,InternalBleeding14,7501,5607,1867,0.016302122156,8.430798392483e-01,8.464657020565e-01,no
250,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370.txt,InternalBleeding5,7415,6200,1045,0.017542830684,9.407778410743e-01,9.407778410743e-01,no
