rank,file_name,series_name,total_length,train_length,test_length,ks_statistic,p_value,bh_adjusted_p_value,is_significant
125,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,5391,2792,0.106718376537,1.077363913539e-18,2.154727827077e-18,yes
126,037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt,DISTORTEDLab2Cmac011215EPG1,30001,17210,12741,0.053494638478,1.194712878513e-18,2.370462060541e-18,yes
127,145_UCR_Anomaly_Lab2Cmac011215EPG1_5000_17210_17260.txt,Lab2Cmac011215EPG1,30001,17210,12741,0.053395633864,1.395308284417e-18,2.746669851215e-18,yes
128,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800.txt,DISTORTEDltstdbs30791AI,56123,52600,3323,0.080705796334,3.697239106284e-18,7.221170129460e-18,yes
129,201_UCR_Anomaly_CHARISfive_10000_17001_17016.txt,CHARISfive,41347,17001,24331,0.045047682924,4.366014025455e-18,8.461267491192e-18,yes
130,110_UCR_Anomaly_2sddb40_35000_56600_56900.txt,2sddb40,80001,56600,23101,0.034633527406,1.566828888936e-17,3.013132478722e-17,yes
131,207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,CHARISten,39870,26929,12881,0.047211682701,2.574786754240e-17,4.913715179846e-17,yes
132,080_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168251.txt,DISTORTEDresperation2,190050,168250,21799,0.031683248417,2.892153827287e-17,5.477564066831e-17,yes
133,101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.txt,NOISELab2Cmac011215EPG4,30066,17390,12546,0.051269389601,4.340090479947e-17,8.158064811930e-17,yes
134,228_UCR_Anomaly_mit14134longtermecg_11361_47830_47850.txt,mit14134longtermecg,59000,47830,11150,0.045418461686,1.201619525725e-16,2.241827473368e-16,yes
135,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520.txt,Lab2Cmac011215EPG4,30066,17390,12546,0.049702316866,4.372198941065e-16,8.096664705675e-16,yes
136,222_UCR_Anomaly_mit14046longtermecg_56123_91200_91700.txt,mit14046longtermecg,211502,91200,119802,0.018622170111,4.981383253510e-16,9.156954510129e-16,yes
137,149_UCR_Anomaly_Lab2Cmac011215EPG5_7000_17390_17520.txt,Lab2Cmac011215EPG5,29826,17390,12306,0.047453917812,1.534814586300e-14,2.800756544342e-14,yes
